article_id,accident_id,date_time,accident_type,location,road_name,text_start_char,text_end_char,temperature_2m,precipitation,windspeed_10m,cloud_cover,weather_code
494209,0,2025-09-18 18:00:00,collision,Bormla,,0,766,26.5,0.0,13.6,3.0,0.0
494363,0,2025-09-20 13:30:00,collision,Gharb,,0,826,25.2,0.0,25.2,2.0,0.0
494368,0,2025-09-20 13:30:00,collision,Gharb,,0,1157,25.2,0.0,25.2,2.0,0.0
494438,0,2025-09-21 08:30:00,collision,Pieta,,0,242,26.1,0.0,8.3,3.0,0.0
494571,0,2025-09-22 18:00:00,collision,San Gwann,Bella Vista Street,0,356,25.9,0.0,10.1,0.0,0.0
494727,0,2025-09-24 08:00:00,collision,Marsalforn,,0,292,25.9,0.0,16.9,100.0,3.0
494856,0,2025-09-25 15:00:00,collision,St Julian's,old man from St,0,505,26.5,0.0,12.8,0.0,0.0
494910,0,2025-09-25 18:00:00,collision,Tarxien,,0,516,24.0,0.0,10.0,3.0,0.0
495320,0,2025-09-30 00:00:00,collision,Naxxar,Naxxar Road,0,1384,22.5,0.0,11.3,97.0,3.0
495442,0,2025-10-02 15:00:00,rollover,Mriehel,,0,64,23.5,0.0,27.7,20.0,1.0
495442,1,2025-10-02 00:00:00,collision,,Police said that the road,64,543,25.5,0.0,37.2,9.0,0.0
495504,0,2025-10-02 08:00:00,collision,Qala,Police investigations are under way,0,498,22.6,0.0,38.6,9.0,0.0
495595,0,2025-10-02 16:20:00,run-off-road,,tragic road accident in Croatia when their car veered off the road,0,1044,23.2,0.0,42.6,30.0,1.0
495731,0,2025-10-02 15:00:00,collision,Swieqi,Adriatic Coast,0,2589,23.2,0.0,27.7,20.0,1.0
495807,0,2025-10-04 23:00:00,collision,Gudja,crash in the opposite lane,0,776,19.7,0.0,8.0,7.0,0.0
495802,0,2025-10-05 08:00:00,collision,Bugibba,St Vincent de Paul Residence,0,3641,23.3,0.0,13.7,77.0,2.0
495896,0,2025-10-02 00:00:00,collision,,state road,0,2123,25.5,0.0,37.2,9.0,0.0
495942,0,2025-10-06 00:00:00,collision,St Paul's Bay,narrow street,0,2462,23.6,0.1,22.3,35.0,51.0
496006,0,2025-10-07 15:00:00,collision,Saqqajja,The accident happened on the roundabout,0,1260,21.4,0.0,26.2,10.0,0.0
495969,0,2025-10-07 08:00:00,collision,Bugibba,car while crossing the road,0,2118,20.7,0.0,25.0,2.0,0.0
496158,0,2025-10-04 09:30:00,collision,Balluta,Adriatic,0,3583,21.5,0.0,15.7,35.0,1.0
496202,0,2025-10-09 08:00:00,collision,Zurrieq,,0,696,21.1,0.0,2.6,0.0,0.0
496362,0,2025-10-10 09:00:00,collision,Ghajnsielem,along that stretch of road,0,1231,21.2,0.0,9.3,0.0,0.0
496362,1,2025-10-10 08:00:00,unknown,,,1232,1582,22.0,0.0,11.0,0.0,0.0
496773,0,2025-10-09 00:00:00,collision,Valletta,Magistrate Dr,0,644,20.1,0.0,6.4,0.0,0.0
496774,0,2025-06-19 00:00:00,collision,Gudja,,0,524,23.3,0.0,8.7,2.0,0.0
496775,0,2025-05-12 00:00:00,collision,Qormi,Valley Road,0,484,19.0,0.0,7.0,99.0,3.0
